district,mandal,village,lat_gis,long_gis,gwl,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1,year,temp_id
KUMURAM BHEEM,Kerameri,Kerameri,19.444,79.05625,10.9,7.9,883.0,565.12,0.0,260.0,40.0,0.42,41.54402,42.0,52.0,1.0,56.0,38.896,299.9342105,1.305456802,C3S1,-0.798684211,P.S.,2018,1252.0
KUMURAM BHEEM,Kowthala,Kowthala,19.5219,79.7324,10.5,8.22,656.0,419.84,0.0,210.0,40.0,0.56,19.66476,25.0,45.0,6.0,48.0,24.31,219.9588816,1.319209975,C2S1,-0.199177632,P.S.,2018,1253.0
KUMURAM BHEEM,Rebbena,Rebbena II,19.257,79.415972,8.62,7.72,1483.0,949.12,0.0,320.0,170.0,1.14,80.6078,107.0,127.0,7.0,104.0,63.206,519.8930921,2.421691746,C3S1,-3.997861842,P.S.,2018,1256.0
KUMURAM BHEEM,Tiryani,Tiryani,19.174472,79.27225,10.55,8.0,1072.0,686.08,0.0,420.0,40.0,0.75,25.15672,60.0,80.0,98.0,80.0,29.172,319.9506579,1.944556862,C3S1,2.000986842,MR,2018,1260.0
MAHABUBABAD,Dhantalapally,Dhantalapally,17.5147,79.7347,5.7,7.69,1890.0,1209.6,0.0,380.0,250.0,2.1,67.3208,173.0,296.0,7.0,48.0,63.206,379.8930921,6.602876538,C3S1,0.002138158,P.S.,2018,1265.0
MAHABUBABAD,Dornakal,Mannegudem,17.374115,80.043883,10.0,8.19,920.0,588.8,0.0,260.0,60.0,2.96,14.30567,57.0,106.0,7.0,48.0,14.586,179.9753289,3.435354357,C3S1,1.600493421,MR,2018,1268.0
MAHABUBABAD,Kesamudram,Kesamudram,17.6816,79.9069,8.8,7.89,1690.0,1081.6,0.0,370.0,120.0,0.9,214.3636,157.0,196.0,11.0,56.0,77.792,459.8684211,3.97384974,C3S1,-1.797368421,P.S.,2018,1273.0
MAHABUBABAD,Koravi,Ayyagaripally,17.503,79.9886,6.5,8.15,1920.0,1228.8,0.0,330.0,280.0,1.23,114.7111,170.0,182.0,7.0,96.0,102.102,659.8273026,3.080551055,C3S1,-6.596546053,P.S.,2018,1274.0
MAHABUBABAD,Mahabubabad,Mahabubabad,17.5983,80.0011,6.7,7.77,2030.0,1299.2,0.0,360.0,260.0,1.04,89.4658,223.0,269.0,8.0,80.0,72.93,499.8766447,5.231099984,C3S1,-2.797532895,P.S.,2018,1281.0
MAHABUBABAD,Marripeda,Marripeda,17.3852,79.8941,9.35,8.29,1930.0,1235.2,0.0,270.0,310.0,1.01,124.012,159.0,269.0,12.0,56.0,63.206,399.8930921,5.848607717,C3S1,-2.597861842,P.S.,2018,1283.0
MAHABUBABAD,Nellikudur,Nellikudur,17.5897,79.7597,7.96,8.26,1161.0,743.04,0.0,350.0,80.0,2.45,75.7359,111.0,102.0,14.0,56.0,58.344,379.9013158,2.275290937,C3S1,-0.598026316,P.S.,2018,1287.0
MAHABUBABAD,Torrur,Torrur,17.5836,79.6611,12.34,8.27,999.0,639.36,0.0,300.0,110.0,0.9,16.29872,77.0,89.0,10.0,32.0,58.344,319.9013158,2.16348634,C3S1,-0.398026316,P.S.,2018,1291.0
MAHABUBNAGAR,Bhoothpur,Elkicherla,16.623,78.116,20.58,8.25,822.0,526.08,0.0,257.4059863,70.0,1.13,46.5045,12.75,97.8476685,1.92,24.0,34.034,200.0,3.008639536,C3S1,1.149271042,P.S.,2018,1294.0
MAHABUBNAGAR,CC Kunta,Damagnapur,16.4997,77.7554,5.49,8.79,920.0,588.8,80.0,232.7300777,90.0,0.58,2.43595,13.25,91.96979257,3.7,40.0,38.896,260.0,2.480193986,C3S1,1.055917343,P.S.,2018,1295.0
MAHABUBNAGAR,CC Kunta,Kurumurthy,16.441442,77.816757,24.67,8.36,997.0,638.08,20.0,107.8017466,200.0,1.46,86.3655,13.5,81.10773429,21.3,48.0,43.758,300.0,2.036232597,C3S1,-3.442484804,P.S.,2018,1296.0
MAHABUBNAGAR,CC Kunta,Thirmalapur,16.48271,77.824269,10.56,8.66,760.0,486.4,60.0,155.620159,100.0,0.71,1.99305,17.25,100.3198557,4.5,24.0,24.31,160.0,3.44869576,C3S1,1.113225549,P.S.,2018,1297.0
MAHABUBNAGAR,Devarkadara,Devarakadra,16.6058,77.832836,13.18,8.89,1135.0,726.4,60.0,431.4285775,30.0,2.62,21.92355,10.0,162.0126091,0.8,40.0,29.172,220.0,4.749614344,C3S1,5.429558392,U.S.,2018,1300.0
MAHABUBNAGAR,Hanwada,Hanwada,16.808381,77.897252,22.33,8.2,1690.0,1081.6,0.0,233.2189076,290.0,0.4,208.163,25.5,123.3332461,4.3,72.0,97.24,580.0,2.226895901,C3S1,-6.932332374,P.S.,2018,1304.0
MAHABUBNAGAR,Jadcherla,Jadcherla,16.774181,78.122404,22.95,7.53,1734.0,1109.76,0.0,301.8711379,330.0,0.99,77.5075,27.5,188.8569616,4.1,56.0,77.792,460.0,3.829026468,C3S1,-3.159945663,P.S.,2018,1305.0
MAHABUBNAGAR,Koilkonda,Dammaipally,16.759993,77.89946,14.08,8.06,1704.0,1090.56,0.0,353.2090206,260.0,0.52,95.2235,45.0,136.8140065,2.5,128.0,58.344,560.0,2.513894113,C3S1,-4.133845903,P.S.,2018,1307.0
MAHABUBNAGAR,Mahabubnagar (R) ,Kodur,16.68,77.924,16.86,8.44,1072.0,686.08,40.0,288.9650242,120.0,1.38,23.4737,13.0,134.2403156,7.5,40.0,34.034,240.0,3.767919348,C3S1,1.780451799,MR,2018,1312.0
MAHABUBNAGAR,Mahabubnagar(U),Yenugonda,16.761294,78.020981,25.31,7.89,2000.0,1280.0,0.0,374.982513,360.0,1.2,101.867,24.25,180.8794408,28.9,64.0,102.102,580.0,3.265968863,C3S1,-4.096895793,P.S.,2018,1313.0
MAHABUBNAGAR,Midjil,Kothapalli,16.7506,78.2315,14.55,8.25,2335.0,1494.4,0.0,187.2980254,540.0,1.01,197.0905,46.25,393.2621118,3.4,40.0,53.482,320.0,9.559621025,C4S2,-2.652230281,P.S.,2018,1316.0
